"countryISO","MicronutEvenness","MicronutDensityScore_W","VulnCC_W","VulnF_W","color","quartile","ISO","Vitamin_A_PII","Zinc_PII","Iron_PII","Calcium_PII","mean_PII","yield_5Y","cumulArea","RegionWB","hdi2018","TaxRichness","NutritionalDep"
"Bosnia & Herzegovina",0.290621818377212,214.899899766155,25.3766825138564,26.0495923657093,"#D7191C","4","BIH",0.616930215,39.45838848,24.23455764,2.516448112,16.70658111175,1612.66637094431,13.5179360832,"Europe & Central Asia",0.769,43,0.02
"Brazil",0.639710954713614,179.285466744853,43.8578161555252,37.0916689187616,"#FAA35B","3","BRA",38.88414708,0.609295898,1.3077942255,18.37591594,14.794288285875,257616.299279842,3646514.335728,"Latin America & Caribbean",0.761,232,0.01
"British Virgin Isl.",0.673469124716106,158.097702191645,66.1719811902536,46.1888704216587,"#D5C481","1","VGB",NA,NA,NA,NA,NA,4368.3092754748,80112.931051,"Latin America & Caribbean",0.92,45,NA
"Brunei",0.733165898712537,179.776201885345,58.8594501454041,34.9036786852083,"#F9A15B","3","BRN",43.78943754,5.483285671,5.092176553,44.26245262,24.656838096,106463.608138109,25340.2115392,"East Asia & Pacific",0.845,130,0.11
"Bulgaria",0.394392787816074,156.570957648942,22.5761312498628,31.9613873628255,"#D1C684","1","BGR",37.09741186,46.36961131,28.67802009,25.40992022,34.38874087,36225.0712394131,35131.5239099,"Europe & Central Asia",0.816,41,0.01
"Cambodia",0.640731983288635,183.004838776332,51.5047668830408,27.8050440767354,"#F79555","4","KHM",95.83984998,25.89780264,64.87350688,92.47957937,69.7726847175,1023980.11103521,47676.126168,"East Asia & Pacific",0.581,51,0.3
"Cameroon",0.482302090958919,193.74003735127,56.7194894906755,29.7704289376228,"#EB6B42","4","CMR",46.4333829,17.808847255,21.922611176,73.46986566,39.90867674775,186948.075944707,14669.2890518,"Sub-Saharan Africa",0.563,69,0.38
"Canada",0.546929113397746,120.703613161693,39.038251787153,48.420297181779,"#6FB3AE","1","CAN",4.725382812,0.92745419,0.391359513,17.94472193,5.99722961125,384751.835793111,9231056.58081,"North America",0.922,153,0.09
"Chile",0.292419870864029,189.789440891041,43.5417763116798,29.2372846171059,"#F07B48","4","CHL",25.408354495,9.161615484,3.203386806,58.66748619,24.11021074375,885275.943730098,3648531.60372,"Latin America & Caribbean",0.847,83,0.06
"China",0.631479541331602,161.199552057491,48.7814942689804,36.7231204236978,"#DBC07C","2","CHN",3.965506955,0.522142582,0.577021917,54.33304825,14.849429926,10420865.7977963,2276307.49533,"East Asia & Pacific",0.758,228,0.08
"Christmas Isl.",0.627315659441785,182.519303219645,52.7447152863815,41.2191547059029,"#F79756","4","CXR",NA,NA,NA,NA,NA,6656.80496456042,327992.874168,"East Asia & Pacific",0.938,41,NA
"Cocos Isl.",0.367388398635828,166.355069960225,42.8327584167859,56.324927533111,"#E6BA73","2","CCK",NA,NA,NA,NA,NA,183.14675761351,467229.253949,"East Asia & Pacific",0.938,16,NA
"Colombia",0.596065934324709,180.913913988475,45.2017688270506,36.6754993854707,"#F89D59","3","COL",46.65531614,13.22834512,14.459764715,35.65892931,27.50058882125,56223.3442607016,744311.363564,"Latin America & Caribbean",0.761,127,0.02
"Comoros",0.451716713508606,190.675334656131,41.8850042049862,36.9854237372556,"#EF7747","4","COM",NA,NA,NA,NA,NA,13299.6780035457,164670.582304,"Sub-Saharan Africa",0.538,51,NA
"Congo (ex-Zaire)",0.53899193824581,213.850387056063,49.4857139792073,34.9835559520875,"#D81D1E","4","COD",NA,NA,NA,NA,NA,82745.2208738157,13136.6009473,"Sub-Saharan Africa",0.459,81,NA
"Costa Rica",0.459988677891774,179.662108353585,46.2025469525723,44.336948055048,"#F9A25B","3","CRI",21.846462804,5.95687753644,7.8963551605,7.572124551,10.817955012985,36737.160161684,572164.9835846,"Latin America & Caribbean",0.794,70,0.04
"Croatia",0.282619200308852,208.278484021777,25.3951773080273,29.2856070862317,"#DD3328","4","HRV",21.29839172,6.341837494,8.493477696,2.789274919,9.73074545725,113592.460732874,55961.9815182,"Europe & Central Asia",0.837,117,0.07
"Cuba",0.575882334956965,165.508374882062,63.159834377029,34.8338951270376,"#E5BB74","2","CUB",2.788055836,17.69080488,6.9855431755,26.02517776,13.372395412875,31382.6637249685,364521.187075,"Latin America & Caribbean",0.778,74,0.01
"Curacao",0.634220539631005,166.788946564782,45.5107859418838,45.0864301228826,"#E7BA72","2","CUW",NA,NA,NA,NA,NA,6323.4281653216,30427.3298795,"Latin America & Caribbean",0.934,89,NA
"Cyprus",0.471348792133283,181.789518320594,39.6385962627077,36.6475810951182,"#F89957","3","CYP",18.59901318,1.134708964,0.767611201,16.57244026,9.26844340125,19227.458430373,98087.9931567,"Europe & Central Asia",0.873,91,0.1
"Denmark",0.41640323170076,117.056471906364,29.7570242559399,46.3885166398553,"#64AAB0","1","DNK",2.7836410155,0.120930672,0.317524317,2.976606516,1.549675630125,205055.594111877,102693.7303328,"Europe & Central Asia",0.93,92,0.14
"Dominica",0.665134857935796,167.931550939435,54.8807505653418,39.1582168876359,"#EAB870","2","DMA",NA,NA,NA,NA,NA,5218.37398013589,28599.444172,"Latin America & Caribbean",0.724,70,0.19
"Dominican Republic",0.609942042135936,162.076163819948,60.7183634735541,42.3993545913019,"#DDC07A","2","DOM",44.68971292,8.719188878,5.490650979,72.52085565,32.85510210675,52112.1362791011,269471.071737,"Latin America & Caribbean",0.745,101,0.1
"Ecuador",0.603165614675032,173.693316242998,42.794673478835,40.5155370712866,"#F6B166","3","ECU",30.52311724,0.502393721,10.6618045635,11.26809962,13.238853786125,236094.945577113,1072093.576113,"Latin America & Caribbean",0.758,76,0.06
"Egypt",0.56522119133054,185.889446558821,42.4726890334285,36.6891224006869,"#F38950","4","EGY",22.86955143,55.30596306,13.837249665,31.4019746,30.85368468875,96590.1961246138,260401.2813912,"Middle East & North Africa",0.7,188,0.1
"Equatorial Guinea",0.512882886629099,191.007355597716,54.1918036830967,32.1766848238437,"#EF7646","4","GNQ",NA,NA,NA,NA,NA,188892.747772386,308276.927651,"Sub-Saharan Africa",0.588,129,NA
"Eritrea",0.622716296563369,174.393481239715,59.1018445146973,34.2141017355822,"#F8B065","3","ERI",NA,NA,NA,NA,NA,34594.9344234074,78382.5366713,"Sub-Saharan Africa",0.434,74,NA
"Estonia",0.258845052729693,117.477411394916,21.7330592431738,35.6981555272225,"#65ABB0","1","EST",3.459253351,1.525796007,2.300055018,0.163749607,1.86221349575,112935.403257001,36511.7900978,"Europe & Central Asia",0.882,29,0.06
